relationship_id,person_id_a,person_id_b,relationship_type,case_id
REL00617,P00089,P01302,facilitator,CASE0236
REL00618,P01752,P00502,family,CASE0081
REL00619,P00055,P00697,family,CASE0090
REL00620,P01310,P01919,facilitator,CASE0202
REL00621,P00759,P01736,family,CASE0162
REL00622,P01651,P01373,facilitator,CASE0102
REL00623,P01267,P00430,business_partner,CASE0032
REL00624,P00162,P01517,associate,CASE0187
REL00625,P00448,P01584,business_partner,CASE0207
REL00626,P01430,P00441,employer,CASE0205
REL00627,P01752,P00776,employer,CASE0061
REL00628,P01288,P01373,business_partner,CASE0100
REL00629,P01355,P00748,family,CASE0174
REL00630,P00190,P01814,tenant,CASE0177
REL00631,P00477,P00748,business_partner,CASE0167
REL00632,P01035,P01584,business_partner,CASE0190
REL00633,P00334,P01517,family,CASE0122
REL00634,P01651,P01150,tenant,CASE0046
REL00635,P00441,P00920,tenant,CASE0018
REL00636,P00477,P00179,business_partner,CASE0063
REL00637,P00697,P00229,associate,CASE0065
REL00638,P00334,P00697,tenant,CASE0194
REL00639,P00458,P01781,tenant,CASE0117
REL00640,P01099,P01310,business_partner,CASE0233
REL00641,P01653,P01651,tenant,CASE0065
REL00642,P01509,P00062,associate,CASE0226
REL00643,P00052,P00860,facilitator,CASE0227
REL00644,P00089,P01519,family,CASE0038
REL00645,P01781,P00408,tenant,CASE0238
REL00646,P00860,P01438,tenant,CASE0158
REL00647,P00448,P01993,associate,CASE0178
REL00648,P01961,P01814,business_partner,CASE0083
REL00649,P00860,P01736,employer,CASE0040
REL00650,P00728,P00408,tenant,CASE0045
REL00651,P01555,P00759,associate,CASE0162
REL00652,P00860,P00690,facilitator,CASE0098
REL00653,P01775,P00736,family,CASE0166
REL00654,P00014,P00190,tenant,CASE0235
REL00655,P00430,P01331,business_partner,CASE0173
REL00656,P00542,P00062,business_partner,CASE0115
REL00657,P01752,P01775,employer,CASE0182
REL00658,P00759,P00190,business_partner,CASE0044
REL00659,P01765,P00705,employer,CASE0099
REL00660,P00408,P01373,tenant,CASE0081
REL00661,P00319,P00759,family,CASE0197
REL00662,P00089,P00394,associate,CASE0105
REL00663,P01210,P00430,tenant,CASE0222
REL00664,P00014,P00690,employer,CASE0106
REL00665,P01131,P01814,employer,CASE0205
REL00666,P01355,P01584,family,CASE0156
REL00667,P00143,P00179,tenant,CASE0054
REL00668,P01736,P01310,business_partner,CASE0191
REL00669,P00570,P00143,family,CASE0177
REL00670,P01517,P00143,associate,CASE0014
REL00671,P00441,P01519,business_partner,CASE0158
REL00672,P00094,P00408,family,CASE0203
REL00673,P00736,P01467,associate,CASE0192
REL00674,P00920,P00162,tenant,CASE0143
REL00675,P01752,P01207,family,CASE0033
REL00676,P00452,P01555,facilitator,CASE0091
REL00677,P01584,P00467,facilitator,CASE0013
REL00678,P00458,P00929,employer,CASE0149
REL00679,P01373,P00502,family,CASE0131
REL00680,P01658,P01430,associate,CASE0100
REL00681,P00941,P01889,associate,CASE0034
REL00682,P00865,P01564,tenant,CASE0208
REL00683,P00199,P00207,facilitator,CASE0192
REL00684,P01331,P00408,facilitator,CASE0079
REL00685,P01437,P01736,facilitator,CASE0050
REL00686,P01775,P00319,tenant,CASE0191
REL00687,P01658,P00452,family,CASE0085
REL00688,P00728,P01150,facilitator,CASE0233
REL00689,P00601,P00697,business_partner,CASE0162
REL00690,P00941,P01438,family,CASE0095
REL00691,P01331,P00458,business_partner,CASE0065
REL00692,P00164,P00143,facilitator,CASE0051
REL00693,P00334,P01781,employer,CASE0119
REL00694,P01373,P01150,tenant,CASE0109
REL00695,P01752,P00941,associate,CASE0032
REL00696,P00477,P00014,associate,CASE0207
REL00697,P00542,P00593,business_partner,CASE0075
REL00698,P00207,P00094,business_partner,CASE0240
REL00699,P01386,P01828,employer,CASE0136
REL00700,P01517,P00055,employer,CASE0057
REL00701,P01150,P00866,employer,CASE0018
REL00702,P01781,P00547,business_partner,CASE0234
REL00703,P01736,P01310,tenant,CASE0014
REL00704,P00865,P00705,tenant,CASE0059
REL00705,P01150,P01517,family,CASE0215
REL00706,P00014,P00162,family,CASE0227
REL00707,P01699,P01658,associate,CASE0016
REL00708,P00736,P01765,employer,CASE0028
REL00709,P01099,P01919,tenant,CASE0187
REL00710,P01495,P00690,family,CASE0145
REL00711,P00190,P01752,tenant,CASE0201
REL00712,P01781,P00728,employer,CASE0144
REL00713,P01099,P01889,employer,CASE0077
REL00714,P01584,P01355,facilitator,CASE0073
REL00715,P01131,P00736,tenant,CASE0101
REL00716,P01781,P00286,associate,CASE0135
REL00717,P01233,P00736,business_partner,CASE0176
REL00718,P00055,P01555,employer,CASE0193
REL00719,P00705,P01233,associate,CASE0182
REL00720,P00319,P00601,business_partner,CASE0143
REL00721,P00748,P00319,employer,CASE0127
REL00722,P01993,P00210,family,CASE0004
REL00723,P01584,P00748,tenant,CASE0193
REL00724,P01207,P01035,associate,CASE0215
REL00725,P01355,P01584,facilitator,CASE0010
REL00726,P00207,P00776,facilitator,CASE0096
REL00727,P00210,P00448,family,CASE0076
REL00728,P00192,P00334,family,CASE0185
REL00729,P01709,P00162,business_partner,CASE0013
REL00730,P01658,P00448,family,CASE0122
REL00731,P01564,P01233,employer,CASE0171
REL00732,P01699,P00542,facilitator,CASE0204
REL00733,P01207,P00690,employer,CASE0122
REL00734,P00477,P01814,tenant,CASE0156
REL00735,P00941,P01775,associate,CASE0003
REL00736,P00094,P00430,family,CASE0009
REL00737,P00860,P00866,family,CASE0020
REL00738,P01519,P01736,employer,CASE0206
REL00739,P01699,P01183,associate,CASE0176
REL00740,P00229,P00319,tenant,CASE0013
REL00741,P00690,P01752,business_partner,CASE0033
REL00742,P00570,P00210,employer,CASE0108
REL00743,P00089,P01889,employer,CASE0044
REL00744,P01467,P01765,tenant,CASE0214
REL00745,P01288,P01443,business_partner,CASE0087
REL00746,P00430,P01919,business_partner,CASE0085
REL00747,P01233,P00748,employer,CASE0136
REL00748,P00458,P00601,tenant,CASE0047
REL00749,P01564,P00286,employer,CASE0123
REL00750,P01310,P01467,family,CASE0067
REL00751,P01310,P00542,facilitator,CASE0059
REL00752,P00441,P00452,family,CASE0104
REL00753,P00286,P00564,tenant,CASE0147
REL00754,P00094,P00014,associate,CASE0211
REL00755,P00192,P01467,associate,CASE0148
REL00756,P00448,P01386,employer,CASE0207
REL00757,P01584,P00929,facilitator,CASE0169
REL00758,P01584,P00179,facilitator,CASE0170
REL00759,P01889,P00697,employer,CASE0049
REL00760,P00448,P00408,facilitator,CASE0033
REL00761,P00143,P01653,employer,CASE0191
REL00762,P01653,P00441,facilitator,CASE0058
REL00763,P01437,P01509,business_partner,CASE0169
REL00764,P00458,P00570,associate,CASE0002
REL00765,P00477,P01993,facilitator,CASE0192
REL00766,P00547,P01775,business_partner,CASE0090
REL00767,P01709,P01775,business_partner,CASE0015
REL00768,P00199,P00547,business_partner,CASE0053
REL00769,P00143,P01658,employer,CASE0170
REL00770,P01889,P01584,facilitator,CASE0056
REL00771,P01889,P00094,associate,CASE0045
REL00772,P00256,P01443,associate,CASE0014
REL00773,P01653,P01117,employer,CASE0063
REL00774,P01210,P01651,facilitator,CASE0205
REL00775,P01099,P00728,business_partner,CASE0095
REL00776,P00066,P01919,business_partner,CASE0228
REL00777,P00697,P01781,employer,CASE0196
REL00778,P00408,P00394,associate,CASE0195
REL00779,P01658,P00430,employer,CASE0155
REL00780,P01467,P01443,business_partner,CASE0122
REL00781,P01765,P00748,family,CASE0214
REL00782,P01302,P00089,facilitator,CASE0046
REL00783,P01495,P01438,tenant,CASE0027
REL00784,P01775,P01752,family,CASE0163
REL00785,P00055,P00229,tenant,CASE0220
REL00786,P00094,P00327,associate,CASE0059
REL00787,P00394,P01699,employer,CASE0071
REL00788,P01752,P00014,associate,CASE0186
REL00789,P00199,P00866,employer,CASE0036
REL00790,P01288,P01517,family,CASE0114
REL00791,P01437,P01564,facilitator,CASE0062
REL00792,P01752,P00143,tenant,CASE0024
REL00793,P01658,P00759,business_partner,CASE0091
REL00794,P00066,P01183,tenant,CASE0198
REL00795,P01035,P00192,facilitator,CASE0064
REL00796,P01658,P00094,tenant,CASE0084
REL00797,P01288,P01752,facilitator,CASE0190
REL00798,P00776,P00055,facilitator,CASE0014
REL00799,P00207,P01699,employer,CASE0110
REL00800,P01775,P01437,family,CASE0238
REL00801,P00066,P01709,tenant,CASE0159
REL00802,P01828,P00089,employer,CASE0041
REL00803,P01889,P01150,tenant,CASE0236
REL00804,P00014,P01517,facilitator,CASE0004
REL00805,P01564,P01288,business_partner,CASE0224
REL00806,P00286,P00741,tenant,CASE0074
REL00807,P00929,P00441,associate,CASE0187
REL00808,P01310,P01437,employer,CASE0079
REL00809,P01099,P01437,employer,CASE0048
REL00810,P00593,P00430,business_partner,CASE0029
REL00811,P00477,P00547,tenant,CASE0145
REL00812,P01495,P01828,family,CASE0086
REL00813,P00759,P00601,tenant,CASE0091
REL00814,P01437,P00779,family,CASE0144
REL00815,P01509,P00319,associate,CASE0111
REL00816,P01775,P01233,family,CASE0034
REL00817,P01736,P01828,family,CASE0078
REL00818,P00062,P00394,tenant,CASE0118
REL00819,P01443,P01651,business_partner,CASE0118
REL00820,P00430,P01035,family,CASE0205
REL00821,P01555,P01150,business_partner,CASE0155
REL00822,P01430,P00728,family,CASE0035
REL00823,P00564,P01889,facilitator,CASE0098
REL00824,P00865,P01373,tenant,CASE0204
REL00825,P00920,P01237,employer,CASE0178
REL00826,P01919,P00164,family,CASE0105
REL00827,P00179,P01150,family,CASE0105
REL00828,P01961,P01430,facilitator,CASE0105
REL00829,P00741,P00542,associate,CASE0162
REL00830,P00441,P00728,employer,CASE0196
REL00831,P01288,P01150,business_partner,CASE0184
REL00832,P00256,P01509,associate,CASE0036
REL00833,P01438,P01765,family,CASE0005
REL00834,P00601,P00441,associate,CASE0021
REL00835,P01658,P01709,family,CASE0009
REL00836,P00190,P00286,associate,CASE0203
REL00837,P00759,P00776,associate,CASE0010
REL00838,P00207,P01207,facilitator,CASE0200
REL00839,P01437,P00327,family,CASE0084
REL00840,P01993,P01814,employer,CASE0106
REL00841,P01584,P00564,associate,CASE0135
REL00842,P01210,P00547,family,CASE0155
REL00843,P00570,P01765,tenant,CASE0202
REL00844,P01373,P00066,employer,CASE0072
REL00845,P01555,P01919,facilitator,CASE0199
REL00846,P00089,P00866,tenant,CASE0196
REL00847,P00728,P01355,associate,CASE0227
REL00848,P01651,P01519,employer,CASE0210
REL00849,P01709,P01467,tenant,CASE0195
REL00850,P00564,P00477,business_partner,CASE0164
REL00851,P01443,P00776,tenant,CASE0219
REL00852,P01210,P01467,business_partner,CASE0133
REL00853,P01961,P00334,facilitator,CASE0215
REL00854,P00477,P00319,business_partner,CASE0121
REL00855,P00162,P00190,business_partner,CASE0112
REL00856,P00229,P01519,employer,CASE0122
REL00857,P00286,P00014,tenant,CASE0173
REL00858,P00094,P01150,facilitator,CASE0152
REL00859,P00690,P01355,family,CASE0082
REL00860,P00779,P00430,tenant,CASE0021
REL00861,P00052,P00866,employer,CASE0231
REL00862,P00866,P00190,family,CASE0142
REL00863,P00199,P00860,business_partner,CASE0032
REL00864,P00458,P00408,facilitator,CASE0231
REL00865,P00062,P01430,facilitator,CASE0175
REL00866,P00866,P00448,facilitator,CASE0200
REL00867,P00705,P01355,facilitator,CASE0196
REL00868,P01150,P01961,tenant,CASE0040
REL00869,P00164,P00286,tenant,CASE0085
REL00870,P01509,P00190,employer,CASE0004
REL00871,P00467,P01430,tenant,CASE0141
REL00872,P01467,P01653,tenant,CASE0153
REL00873,P00062,P00776,facilitator,CASE0043
REL00874,P00192,P00741,family,CASE0096
REL00875,P01775,P01207,business_partner,CASE0029
REL00876,P01509,P00408,family,CASE0227
REL00877,P01961,P01438,associate,CASE0081
REL00878,P00441,P00564,facilitator,CASE0112
REL00879,P00179,P01509,associate,CASE0153
REL00880,P01331,P01131,tenant,CASE0118
REL00881,P00736,P01386,family,CASE0240
REL00882,P01131,P00430,business_partner,CASE0176
REL00883,P00929,P00394,family,CASE0045
REL00884,P00865,P00207,associate,CASE0003
REL00885,P00408,P01207,associate,CASE0052
REL00886,P00210,P01709,business_partner,CASE0194
REL00887,P00690,P01828,family,CASE0089
REL00888,P01919,P01752,associate,CASE0015
REL00889,P01814,P00207,facilitator,CASE0223
REL00890,P00190,P00089,tenant,CASE0194
REL00891,P00052,P01961,associate,CASE0224
REL00892,P00776,P00448,facilitator,CASE0232
REL00893,P01117,P00094,facilitator,CASE0192
REL00894,P01430,P01288,facilitator,CASE0098
REL00895,P01658,P01651,associate,CASE0197
REL00896,P01210,P00229,facilitator,CASE0155
REL00897,P00394,P01993,tenant,CASE0133
REL00898,P00452,P00256,family,CASE0168
REL00899,P01438,P01310,family,CASE0195
REL00900,P01233,P00601,employer,CASE0020
REL00901,P00394,P00334,associate,CASE0119
REL00902,P00094,P01131,family,CASE0019
REL00903,P01517,P01233,associate,CASE0123
REL00904,P00728,P01752,employer,CASE0102
REL00905,P00408,P01288,family,CASE0113
REL00906,P01495,P00860,employer,CASE0093
REL00907,P00860,P00920,family,CASE0180
REL00908,P01150,P00866,family,CASE0189
REL00909,P01131,P00441,family,CASE0224
REL00910,P00736,P00542,employer,CASE0037
REL00911,P01919,P01814,business_partner,CASE0008
REL00912,P00162,P01310,tenant,CASE0018
REL00913,P00776,P01517,facilitator,CASE0159
REL00914,P00192,P00052,tenant,CASE0176
REL00915,P00741,P00941,facilitator,CASE0192
REL00916,P01555,P01331,tenant,CASE0098
REL00917,P00207,P00736,business_partner,CASE0095
REL00918,P00430,P00705,associate,CASE0192
REL00919,P00477,P00728,facilitator,CASE0187
REL00920,P01437,P00327,associate,CASE0118
REL00921,P00866,P00941,employer,CASE0153
REL00922,P01302,P01709,tenant,CASE0160
REL00923,P01443,P00929,tenant,CASE0066
REL00924,P00256,P01237,business_partner,CASE0192
REL00925,P01386,P00601,facilitator,CASE0162
REL00926,P00865,P01993,employer,CASE0163
REL00927,P00229,P00441,business_partner,CASE0069
REL00928,P01467,P00866,family,CASE0035
REL00929,P01150,P01355,employer,CASE0100
REL00930,P00179,P01961,tenant,CASE0179
REL00931,P01210,P00014,business_partner,CASE0123
REL00932,P00062,P01310,associate,CASE0016
REL00933,P01438,P00164,family,CASE0078
REL00934,P00441,P00690,family,CASE0150
REL00935,P00941,P00697,family,CASE0025
REL00936,P00319,P00207,tenant,CASE0164
REL00937,P01355,P00728,associate,CASE0135
REL00938,P00319,P00190,facilitator,CASE0169
REL00939,P00920,P00547,family,CASE0013
REL00940,P00052,P00094,tenant,CASE0001
REL00941,P01443,P01331,employer,CASE0173
REL00942,P01658,P01331,employer,CASE0204
REL00943,P01467,P01117,family,CASE0138
REL00944,P00014,P01509,tenant,CASE0095
REL00945,P01131,P01310,facilitator,CASE0030
REL00946,P01993,P01814,associate,CASE0026
REL00947,P00014,P00477,business_partner,CASE0064
REL00948,P00143,P00547,tenant,CASE0067
REL00949,P01210,P00929,tenant,CASE0128
REL00950,P01752,P00430,tenant,CASE0124
REL00951,P00210,P00920,business_partner,CASE0125
REL00952,P01517,P01775,tenant,CASE0003
REL00953,P01517,P01237,business_partner,CASE0037
REL00954,P01736,P01752,family,CASE0063
REL00955,P00776,P00066,family,CASE0146
REL00956,P00210,P00430,facilitator,CASE0160
REL00957,P00458,P01584,facilitator,CASE0016
REL00958,P00408,P01961,family,CASE0149
REL00959,P00327,P01752,tenant,CASE0018
REL00960,P00690,P01430,employer,CASE0119
REL00961,P00477,P00452,associate,CASE0011
REL00962,P00920,P00055,associate,CASE0211
REL00963,P01438,P00866,family,CASE0023
REL00964,P00776,P01438,facilitator,CASE0164
REL00965,P00564,P01889,tenant,CASE0009
REL00966,P00728,P01302,employer,CASE0203
REL00967,P01765,P01699,tenant,CASE0028
REL00968,P01584,P01509,business_partner,CASE0097
REL00969,P00477,P01437,family,CASE0208
REL00970,P01555,P01267,facilitator,CASE0106
REL00971,P00741,P00199,employer,CASE0009
REL00972,P00542,P01331,facilitator,CASE0104
REL00973,P01437,P01889,associate,CASE0042
REL00974,P01509,P00094,employer,CASE0085
REL00975,P01736,P01331,family,CASE0139
REL00976,P00408,P00207,associate,CASE0240
REL00977,P00458,P00759,tenant,CASE0032
REL00978,P01519,P00866,associate,CASE0050
REL00979,P00920,P01961,business_partner,CASE0126
REL00980,P00052,P00728,tenant,CASE0231
REL00981,P00601,P01736,tenant,CASE0044
REL00982,P01709,P01467,family,CASE0157
REL00983,P01302,P00542,employer,CASE0141
REL00984,P00430,P00741,associate,CASE0027
REL00985,P00929,P01443,family,CASE0155
REL00986,P01658,P00477,family,CASE0206
REL00987,P01564,P01099,associate,CASE0083
REL00988,P01430,P00089,employer,CASE0047
REL00989,P01099,P01035,facilitator,CASE0166
REL00990,P01752,P01653,facilitator,CASE0185
REL00991,P01210,P00162,employer,CASE0035
REL00992,P01653,P00705,employer,CASE0040
REL00993,P00860,P01099,facilitator,CASE0092
REL00994,P01210,P01331,associate,CASE0099
REL00995,P00779,P01150,business_partner,CASE0205
REL00996,P00779,P01288,associate,CASE0038
REL00997,P01267,P01564,family,CASE0213
REL00998,P00570,P00089,facilitator,CASE0215
REL00999,P01555,P00256,facilitator,CASE0188
REL01000,P00192,P00066,associate,CASE0234
REL01001,P01443,P01961,facilitator,CASE0045
REL01002,P00430,P01775,employer,CASE0013
REL01003,P00319,P00941,employer,CASE0147
REL01004,P01658,P00199,tenant,CASE0225
REL01005,P00207,P00776,employer,CASE0044
REL01006,P00865,P00741,family,CASE0170
REL01007,P01555,P01775,associate,CASE0177
REL01008,P00448,P01099,business_partner,CASE0175
REL01009,P01736,P00327,facilitator,CASE0068
REL01010,P00448,P01430,business_partner,CASE0053
REL01011,P00736,P01035,facilitator,CASE0139
REL01012,P01584,P00542,facilitator,CASE0006
REL01013,P00066,P00920,facilitator,CASE0204
REL01014,P01961,P00748,facilitator,CASE0138
REL01015,P00860,P00164,business_partner,CASE0213
REL01016,P01267,P00542,family,CASE0088
REL01017,P01386,P01584,facilitator,CASE0031
REL01018,P00697,P01517,associate,CASE0175
REL01019,P01267,P01310,facilitator,CASE0037
REL01020,P00601,P00448,employer,CASE0204
REL01021,P01814,P01752,employer,CASE0091
REL01022,P01709,P01658,tenant,CASE0009
REL01023,P00089,P00865,employer,CASE0041
REL01024,P00334,P01233,employer,CASE0022
REL01025,P01709,P00319,associate,CASE0003
REL01026,P00334,P00094,facilitator,CASE0126
REL01027,P00690,P00502,facilitator,CASE0033
REL01028,P00190,P00143,business_partner,CASE0111
REL01029,P01509,P01752,associate,CASE0221
REL01030,P00210,P01993,employer,CASE0027
REL01031,P00920,P00564,business_partner,CASE0070
REL01032,P00601,P00210,associate,CASE0182
REL01033,P00394,P01919,business_partner,CASE0019
REL01034,P01131,P00452,facilitator,CASE0198
REL01035,P01302,P01564,business_partner,CASE0022
REL01036,P01564,P01233,business_partner,CASE0008
REL01037,P01651,P00408,family,CASE0124
REL01038,P01355,P00458,facilitator,CASE0027
REL01039,P00210,P00865,tenant,CASE0088
REL01040,P00286,P00502,business_partner,CASE0188
REL01041,P01752,P01495,facilitator,CASE0182
REL01042,P00430,P01430,family,CASE0168
REL01043,P00334,P00143,tenant,CASE0015
REL01044,P00458,P00327,business_partner,CASE0016
REL01045,P01814,P00062,employer,CASE0043
REL01046,P01699,P01919,facilitator,CASE0028
REL01047,P00256,P00199,tenant,CASE0234
REL01048,P01131,P01373,facilitator,CASE0183
REL01049,P00728,P00601,facilitator,CASE0045
REL01050,P01210,P00014,family,CASE0006
REL01051,P01443,P00690,business_partner,CASE0088
REL01052,P01150,P00542,facilitator,CASE0109
REL01053,P00441,P01517,tenant,CASE0222
REL01054,P00055,P01919,business_partner,CASE0196
REL01055,P00477,P01775,family,CASE0029
REL01056,P01658,P01035,tenant,CASE0038
REL01057,P00062,P01150,employer,CASE0134
REL01058,P00779,P00334,employer,CASE0086
REL01059,P00502,P00256,facilitator,CASE0010
REL01060,P00866,P01564,associate,CASE0212
REL01061,P00430,P00690,associate,CASE0234
REL01062,P01889,P01495,family,CASE0181
REL01063,P01150,P00199,family,CASE0057
REL01064,P01430,P01150,facilitator,CASE0067
REL01065,P00741,P00066,family,CASE0031
REL01066,P00601,P00776,family,CASE0028
REL01067,P00190,P00779,tenant,CASE0122
REL01068,P00690,P01509,employer,CASE0143
REL01069,P01555,P01099,facilitator,CASE0164
REL01070,P00941,P00593,family,CASE0157
REL01071,P00199,P00452,family,CASE0208
REL01072,P00920,P00164,business_partner,CASE0094
REL01073,P00741,P00143,tenant,CASE0044
REL01074,P00705,P00570,associate,CASE0135
REL01075,P00467,P00690,business_partner,CASE0020
REL01076,P00286,P01430,associate,CASE0167
REL01077,P01517,P00728,tenant,CASE0164
REL01078,P01207,P00089,tenant,CASE0088
REL01079,P00394,P01099,family,CASE0097
REL01080,P01993,P01564,family,CASE0114
REL01081,P00564,P00394,family,CASE0083
REL01082,P01386,P00705,family,CASE0148
REL01083,P00941,P00477,business_partner,CASE0007
REL01084,P00319,P01438,tenant,CASE0136
REL01085,P00452,P01699,facilitator,CASE0212
REL01086,P00741,P00736,employer,CASE0217
REL01087,P00014,P01519,tenant,CASE0228
REL01088,P01653,P01131,business_partner,CASE0116
REL01089,P00929,P00728,family,CASE0135
REL01090,P00920,P01386,family,CASE0176
REL01091,P01355,P00547,family,CASE0041
REL01092,P00570,P01210,facilitator,CASE0204
REL01093,P01035,P00190,associate,CASE0080
REL01094,P00458,P00547,family,CASE0131
REL01095,P00458,P00477,business_partner,CASE0007
REL01096,P00929,P01310,tenant,CASE0123
REL01097,P01658,P01584,business_partner,CASE0076
REL01098,P01658,P00542,employer,CASE0214
REL01099,P01386,P01653,employer,CASE0032
REL01100,P01131,P00570,tenant,CASE0002
REL01101,P01509,P01653,business_partner,CASE0220
REL01102,P00705,P00327,tenant,CASE0198
REL01103,P01355,P00014,employer,CASE0024
REL01104,P01233,P01517,employer,CASE0181
REL01105,P00776,P00448,family,CASE0017
REL01106,P01117,P01555,associate,CASE0151
REL01107,P00207,P00199,employer,CASE0201
REL01108,P01207,P01564,tenant,CASE0105
REL01109,P01828,P01653,business_partner,CASE0155
REL01110,P01709,P01765,employer,CASE0080
REL01111,P01781,P00860,facilitator,CASE0084
REL01112,P01302,P01651,tenant,CASE0158
REL01113,P01775,P00690,tenant,CASE0037
REL01114,P00164,P01658,business_partner,CASE0127
REL01115,P00779,P01331,business_partner,CASE0114
REL01116,P00143,P01781,business_partner,CASE0008
REL01117,P01437,P01961,tenant,CASE0171
REL01118,P01814,P01781,family,CASE0102
REL01119,P00570,P01555,family,CASE0219
REL01120,P00866,P01509,facilitator,CASE0010
REL01121,P00229,P01765,business_partner,CASE0205
REL01122,P01302,P00705,business_partner,CASE0225
REL01123,P01919,P00408,business_partner,CASE0017
REL01124,P00929,P00210,family,CASE0210
REL01125,P01438,P00728,business_partner,CASE0008
REL01126,P00190,P01131,tenant,CASE0181
REL01127,P00779,P00776,tenant,CASE0134
REL01128,P01555,P01814,tenant,CASE0144
REL01129,P00477,P00542,family,CASE0123
REL01130,P00089,P00334,business_partner,CASE0222
REL01131,P00162,P00089,business_partner,CASE0044
REL01132,P01267,P00477,business_partner,CASE0157
REL01133,P00929,P01775,family,CASE0052
REL01134,P00143,P00094,family,CASE0218
REL01135,P01117,P00547,associate,CASE0128
REL01136,P00394,P01210,associate,CASE0065
REL01137,P01919,P01210,employer,CASE0141
REL01138,P00062,P01517,employer,CASE0004
REL01139,P00408,P01736,associate,CASE0020
REL01140,P00759,P01386,associate,CASE0200
REL01141,P00408,P01519,tenant,CASE0208
REL01142,P01207,P00094,business_partner,CASE0115
REL01143,P01437,P01752,facilitator,CASE0049
REL01144,P00229,P00055,facilitator,CASE0005
REL01145,P00229,P01781,business_partner,CASE0040
REL01146,P01035,P01555,facilitator,CASE0053
REL01147,P00866,P00502,family,CASE0102
REL01148,P00164,P01302,business_partner,CASE0118
REL01149,P01099,P01828,associate,CASE0098
REL01150,P01467,P01651,family,CASE0128
REL01151,P00199,P01709,facilitator,CASE0171
REL01152,P00334,P00199,tenant,CASE0057
REL01153,P00705,P01781,facilitator,CASE0053
REL01154,P01355,P00570,associate,CASE0045
REL01155,P01117,P00458,associate,CASE0007
REL01156,P00941,P01828,family,CASE0144
REL01157,P00192,P01961,business_partner,CASE0032
REL01158,P01302,P01993,associate,CASE0182
REL01159,P01961,P00570,tenant,CASE0236
REL01160,P01658,P01099,family,CASE0122
REL01161,P01210,P00089,facilitator,CASE0044
REL01162,P01237,P00094,associate,CASE0162
REL01163,P00394,P00210,associate,CASE0008
REL01164,P01651,P01889,business_partner,CASE0141
REL01165,P00062,P01438,tenant,CASE0209
REL01166,P01310,P01781,family,CASE0100
REL01167,P01828,P00327,employer,CASE0105
REL01168,P01889,P00705,employer,CASE0216
REL01169,P01386,P00066,business_partner,CASE0231
REL01170,P00286,P01355,business_partner,CASE0004
REL01171,P00441,P01331,tenant,CASE0188
REL01172,P00779,P00458,employer,CASE0121
REL01173,P00164,P01150,employer,CASE0082
REL01174,P00448,P00564,employer,CASE0059
REL01175,P01302,P00502,business_partner,CASE0046
REL01176,P01584,P00199,business_partner,CASE0163
REL01177,P00162,P01310,facilitator,CASE0009
REL01178,P01584,P00547,facilitator,CASE0203
REL01179,P01183,P00199,tenant,CASE0139
REL01180,P00467,P00062,family,CASE0182
REL01181,P01709,P00199,associate,CASE0028
REL01182,P00179,P01993,family,CASE0119
REL01183,P00547,P01237,associate,CASE0170
REL01184,P00705,P00601,associate,CASE0172
REL01185,P01495,P01310,business_partner,CASE0162
REL01186,P01781,P00866,employer,CASE0011
REL01187,P00860,P01814,family,CASE0022
REL01188,P00779,P00542,business_partner,CASE0101
REL01189,P01781,P00601,employer,CASE0156
REL01190,P01919,P01183,employer,CASE0028
REL01191,P01355,P00705,employer,CASE0162
REL01192,P00601,P00477,tenant,CASE0229
REL01193,P01099,P00929,family,CASE0092
REL01194,P00094,P00334,tenant,CASE0072
REL01195,P01919,P00728,associate,CASE0140
REL01196,P01564,P01889,associate,CASE0130
REL01197,P00741,P00477,tenant,CASE0018
REL01198,P01584,P00394,business_partner,CASE0063
REL01199,P01386,P01699,family,CASE0023
REL01200,P00199,P00564,associate,CASE0001
REL01201,P00089,P01467,facilitator,CASE0089
REL01202,P01183,P01310,family,CASE0185
REL01203,P01438,P00564,facilitator,CASE0174
REL01204,P00190,P01709,facilitator,CASE0159
REL01205,P01495,P01207,employer,CASE0082
REL01206,P01709,P00477,associate,CASE0169
REL01207,P00547,P01310,family,CASE0117
REL01208,P01709,P00256,associate,CASE0087
REL01209,P00748,P00089,family,CASE0152
REL01210,P01555,P01099,facilitator,CASE0129
REL01211,P01765,P00062,associate,CASE0018
REL01212,P00929,P01386,family,CASE0020
REL01213,P01355,P01150,business_partner,CASE0010
REL01214,P00865,P01814,business_partner,CASE0146
REL01215,P00319,P01775,family,CASE0011
REL01216,P01131,P00502,business_partner,CASE0169
REL01217,P01519,P00779,employer,CASE0033
REL01218,P00066,P00229,facilitator,CASE0167
REL01219,P00229,P01438,business_partner,CASE0148
REL01220,P00593,P00779,associate,CASE0050
REL01221,P01519,P00164,tenant,CASE0240
REL01222,P01355,P01438,business_partner,CASE0171
REL01223,P01555,P01651,tenant,CASE0193
REL01224,P00697,P01889,employer,CASE0226
REL01225,P01519,P01736,facilitator,CASE0226
REL01226,P01653,P00089,facilitator,CASE0121
REL01227,P00162,P01752,employer,CASE0062
REL01228,P00055,P01653,family,CASE0022
REL01229,P00759,P00920,facilitator,CASE0008
REL01230,P00199,P00448,facilitator,CASE0151
REL01231,P01443,P00542,facilitator,CASE0121
REL01232,P00920,P00741,tenant,CASE0131
