ref_id,case_id,source_type,source_id,description,is_duplicate
REF00299,CASE0016,FIR,FIR000027,Case reference linking FIR record FIR000027 to investigative file.,false
REF00300,CASE0024,CDR,CDR009026,Case reference linking CDR record CDR009026 to investigative file.,false
REF00301,CASE0045,Transaction,TXN001561,Case reference linking Transaction record TXN001561 to investigative file.,false
REF00302,CASE0054,CDR,CDR005051,Case reference linking CDR record CDR005051 to investigative file.,false
REF00303,CASE0050,CDR,CDR003001,Case reference linking CDR record CDR003001 to investigative file.,false
REF00304,CASE0042,FIR,FIR000224,Case reference linking FIR record FIR000224 to investigative file.,false
REF00305,CASE0055,CDR,CDR002726,Case reference linking CDR record CDR002726 to investigative file.,false
REF00306,CASE0017,FIR,FIR000044,Case reference linking FIR record FIR000044 to investigative file.,false
REF00307,CASE0051,Surveillance,SR00096,Case reference linking Surveillance record SR00096 to investigative file.,false
REF00308,CASE0042,CDR,CDR007276,Case reference linking CDR record CDR007276 to investigative file.,false
REF00309,CASE0054,FIR,FIR000175,Case reference linking FIR record FIR000175 to investigative file.,false
REF00310,CASE0003,CDR,CDR006801,Case reference linking CDR record CDR006801 to investigative file.,false
REF00311,CASE0016,Transaction,TXN003721,Case reference linking Transaction record TXN003721 to investigative file.,false
REF00312,CASE0058,Surveillance,SR00093,Case reference linking Surveillance record SR00093 to investigative file.,false
REF00313,CASE0043,Surveillance,SR00083,Case reference linking Surveillance record SR00083 to investigative file.,false
REF00314,CASE0009,CDR,CDR001726,Case reference linking CDR record CDR001726 to investigative file.,false
REF00315,CASE0047,Transaction,TXN002441,Case reference linking Transaction record TXN002441 to investigative file.,false
REF00316,CASE0026,Transaction,TXN000961,Case reference linking Transaction record TXN000961 to investigative file.,false
REF00317,CASE0041,Transaction,TXN002501,Case reference linking Transaction record TXN002501 to investigative file.,false
REF00318,CASE0018,FIR,FIR000169,Case reference linking FIR record FIR000169 to investigative file.,false
REF00319,CASE0041,FIR,FIR000176,Case reference linking FIR record FIR000176 to investigative file.,false
REF00320,CASE0010,CDR,CDR000901,Case reference linking CDR record CDR000901 to investigative file.,false
REF00321,CASE0048,CDR,CDR005701,Case reference linking CDR record CDR005701 to investigative file.,false
REF00322,CASE0031,Transaction,TXN002921,Case reference linking Transaction record TXN002921 to investigative file.,false
REF00323,CASE0059,FIR,FIR000264,Case reference linking FIR record FIR000264 to investigative file.,false
REF00324,CASE0009,Surveillance,SR00125,Case reference linking Surveillance record SR00125 to investigative file.,false
REF00325,CASE0033,FIR,FIR000157,Case reference linking FIR record FIR000157 to investigative file.,false
REF00326,CASE0045,Surveillance,SR00106,Case reference linking Surveillance record SR00106 to investigative file.,false
REF00327,CASE0032,CDR,CDR002101,Case reference linking CDR record CDR002101 to investigative file.,false
REF00328,CASE0008,Transaction,TXN004621,Case reference linking Transaction record TXN004621 to investigative file.,false
REF00329,CASE0031,Surveillance,SR00024,Case reference linking Surveillance record SR00024 to investigative file.,false
REF00330,CASE0012,FIR,FIR000158,Case reference linking FIR record FIR000158 to investigative file.,false
REF00331,CASE0044,CDR,CDR008601,Case reference linking CDR record CDR008601 to investigative file.,false
REF00332,CASE0026,CDR,CDR005376,Case reference linking CDR record CDR005376 to investigative file.,false
REF00333,CASE0007,Transaction,TXN002841,Case reference linking Transaction record TXN002841 to investigative file.,false
REF00334,CASE0045,FIR,FIR000281,Case reference linking FIR record FIR000281 to investigative file.,false
REF00335,CASE0006,Surveillance,SR00113,Case reference linking Surveillance record SR00113 to investigative file.,false
REF00336,CASE0055,FIR,FIR000137,Case reference linking FIR record FIR000137 to investigative file.,false
REF00337,CASE0005,Transaction,TXN001281,Case reference linking Transaction record TXN001281 to investigative file.,false
REF00338,CASE0037,Transaction,TXN001901,Case reference linking Transaction record TXN001901 to investigative file.,false
REF00339,CASE0029,CDR,CDR003501,Case reference linking CDR record CDR003501 to investigative file.,false
REF00340,CASE0038,Transaction,TXN000641,Case reference linking Transaction record TXN000641 to investigative file.,false
REF00341,CASE0037,Transaction,TXN004101,Case reference linking Transaction record TXN004101 to investigative file.,false
REF00342,CASE0035,CDR,CDR007776,Case reference linking CDR record CDR007776 to investigative file.,false
REF00343,CASE0027,CDR,CDR003301,Case reference linking CDR record CDR003301 to investigative file.,false
REF00344,CASE0037,Transaction,TXN004761,Case reference linking Transaction record TXN004761 to investigative file.,false
REF00345,CASE0050,FIR,FIR000010,Case reference linking FIR record FIR000010 to investigative file.,false
REF00346,CASE0049,Transaction,TXN002741,Case reference linking Transaction record TXN002741 to investigative file.,false
REF00347,CASE0057,FIR,FIR000173,Case reference linking FIR record FIR000173 to investigative file.,false
REF00348,CASE0011,CDR,CDR001101,Case reference linking CDR record CDR001101 to investigative file.,false
REF00349,CASE0049,CDR,CDR000501,Case reference linking CDR record CDR000501 to investigative file.,false
REF00350,CASE0034,CDR,CDR003001,Case reference linking CDR record CDR003001 to investigative file.,false
REF00351,CASE0013,Transaction,TXN000061,Case reference linking Transaction record TXN000061 to investigative file.,false
REF00352,CASE0028,CDR,CDR006751,Case reference linking CDR record CDR006751 to investigative file.,false
REF00353,CASE0049,FIR,FIR000156,Case reference linking FIR record FIR000156 to investigative file.,false
REF00354,CASE0040,Transaction,TXN001281,Case reference linking Transaction record TXN001281 to investigative file.,false
REF00355,CASE0058,CDR,CDR005051,Case reference linking CDR record CDR005051 to investigative file.,false
REF00356,CASE0014,CDR,CDR005576,Case reference linking CDR record CDR005576 to investigative file.,false
REF00357,CASE0004,FIR,FIR000071,Case reference linking FIR record FIR000071 to investigative file.,false
REF00358,CASE0040,CDR,CDR004826,Case reference linking CDR record CDR004826 to investigative file.,false
REF00359,CASE0001,FIR,FIR000272,Case reference linking FIR record FIR000272 to investigative file.,false
REF00360,CASE0015,FIR,FIR000123,Case reference linking FIR record FIR000123 to investigative file.,false
REF00361,CASE0003,FIR,FIR000216,Case reference linking FIR record FIR000216 to investigative file.,false
REF00362,CASE0028,Transaction,TXN004601,Case reference linking Transaction record TXN004601 to investigative file.,false
REF00363,CASE0030,FIR,FIR000209,Case reference linking FIR record FIR000209 to investigative file.,false
REF00364,CASE0048,CDR,CDR006001,Case reference linking CDR record CDR006001 to investigative file.,false
REF00365,CASE0018,Transaction,TXN003641,Case reference linking Transaction record TXN003641 to investigative file.,false
REF00366,CASE0008,Surveillance,SR00056,Case reference linking Surveillance record SR00056 to investigative file.,false
REF00367,CASE0031,Surveillance,SR00120,Case reference linking Surveillance record SR00120 to investigative file.,false
REF00368,CASE0055,FIR,FIR000215,Case reference linking FIR record FIR000215 to investigative file.,false
REF00369,CASE0040,CDR,CDR007251,Case reference linking CDR record CDR007251 to investigative file.,false
REF00370,CASE0041,Transaction,TXN001241,Case reference linking Transaction record TXN001241 to investigative file.,false
REF00371,CASE0035,FIR,FIR000066,Case reference linking FIR record FIR000066 to investigative file.,false
REF00372,CASE0014,FIR,FIR000079,Case reference linking FIR record FIR000079 to investigative file.,false
REF00373,CASE0013,CDR,CDR004726,Case reference linking CDR record CDR004726 to investigative file.,false
REF00374,CASE0032,FIR,FIR000061,Case reference linking FIR record FIR000061 to investigative file.,false
REF00375,CASE0003,CDR,CDR006426,Case reference linking CDR record CDR006426 to investigative file.,false
REF00376,CASE0045,CDR,CDR000501,Case reference linking CDR record CDR000501 to investigative file.,false
REF00377,CASE0045,CDR,CDR009826,Case reference linking CDR record CDR009826 to investigative file.,false
REF00378,CASE0013,Surveillance,SR00141,Case reference linking Surveillance record SR00141 to investigative file.,false
REF00379,CASE0051,Transaction,TXN001101,Case reference linking Transaction record TXN001101 to investigative file.,false
REF00380,CASE0014,CDR,CDR004901,Case reference linking CDR record CDR004901 to investigative file.,false
REF00381,CASE0019,CDR,CDR004126,Case reference linking CDR record CDR004126 to investigative file.,false
REF00382,CASE0060,CDR,CDR006551,Case reference linking CDR record CDR006551 to investigative file.,false
REF00383,CASE0031,Surveillance,SR00028,Case reference linking Surveillance record SR00028 to investigative file.,false
REF00384,CASE0032,Surveillance,SR00052,Case reference linking Surveillance record SR00052 to investigative file.,false
REF00385,CASE0046,Transaction,TXN004061,Case reference linking Transaction record TXN004061 to investigative file.,false
REF00386,CASE0050,CDR,CDR009176,Case reference linking CDR record CDR009176 to investigative file.,false
REF00387,CASE0025,FIR,FIR000234,Case reference linking FIR record FIR000234 to investigative file.,false
REF00388,CASE0026,Transaction,TXN001461,Case reference linking Transaction record TXN001461 to investigative file.,false
REF00389,CASE0017,Surveillance,SR00090,Case reference linking Surveillance record SR00090 to investigative file.,false
REF00390,CASE0054,CDR,CDR009076,Case reference linking CDR record CDR009076 to investigative file.,false
REF00391,CASE0002,FIR,FIR000258,Case reference linking FIR record FIR000258 to investigative file.,false
REF00392,CASE0035,CDR,CDR003076,Case reference linking CDR record CDR003076 to investigative file.,false
REF00393,CASE0033,CDR,CDR000776,Case reference linking CDR record CDR000776 to investigative file.,false
REF00394,CASE0039,CDR,CDR009276,Case reference linking CDR record CDR009276 to investigative file.,false
REF00395,CASE0035,Transaction,TXN002641,Case reference linking Transaction record TXN002641 to investigative file.,false
REF00396,CASE0052,CDR,CDR008376,Case reference linking CDR record CDR008376 to investigative file.,false
REF00397,CASE0011,CDR,CDR002601,Case reference linking CDR record CDR002601 to investigative file.,false
REF00398,CASE0047,Surveillance,SR00046,Case reference linking Surveillance record SR00046 to investigative file.,false
REF00399,CASE0028,CDR,CDR008101,Case reference linking CDR record CDR008101 to investigative file.,false
REF00400,CASE0035,FIR,FIR000119,Case reference linking FIR record FIR000119 to investigative file.,false
REF00401,CASE0012,CDR,CDR007476,Case reference linking CDR record CDR007476 to investigative file.,false
REF00402,CASE0057,Transaction,TXN002781,Case reference linking Transaction record TXN002781 to investigative file.,false
REF00403,CASE0057,Transaction,TXN000161,Case reference linking Transaction record TXN000161 to investigative file.,false
REF00404,CASE0055,FIR,FIR000254,Case reference linking FIR record FIR000254 to investigative file.,false
REF00405,CASE0032,CDR,CDR004051,Case reference linking CDR record CDR004051 to investigative file.,false
REF00406,CASE0024,Surveillance,SR00091,Case reference linking Surveillance record SR00091 to investigative file.,false
REF00407,CASE0047,Transaction,TXN000681,Case reference linking Transaction record TXN000681 to investigative file.,false
REF00408,CASE0034,CDR,CDR001001,Case reference linking CDR record CDR001001 to investigative file.,false
REF00409,CASE0005,Surveillance,SR00071,Case reference linking Surveillance record SR00071 to investigative file.,false
REF00410,CASE0039,CDR,CDR003576,Case reference linking CDR record CDR003576 to investigative file.,false
REF00411,CASE0025,CDR,CDR007026,Case reference linking CDR record CDR007026 to investigative file.,false
REF00412,CASE0031,Transaction,TXN004801,Case reference linking Transaction record TXN004801 to investigative file.,false
REF00413,CASE0051,FIR,FIR000188,Case reference linking FIR record FIR000188 to investigative file.,false
REF00414,CASE0047,CDR,CDR006951,Case reference linking CDR record CDR006951 to investigative file.,false
REF00415,CASE0042,FIR,FIR000284,Case reference linking FIR record FIR000284 to investigative file.,false
REF00416,CASE0054,CDR,CDR006001,Case reference linking CDR record CDR006001 to investigative file.,false
REF00417,CASE0036,Transaction,TXN004701,Case reference linking Transaction record TXN004701 to investigative file.,false
REF00418,CASE0055,FIR,FIR000263,Case reference linking FIR record FIR000263 to investigative file.,false
REF00419,CASE0025,CDR,CDR002776,Case reference linking CDR record CDR002776 to investigative file.,false
REF00420,CASE0006,FIR,FIR000181,Case reference linking FIR record FIR000181 to investigative file.,false
REF00421,CASE0059,CDR,CDR005126,Case reference linking CDR record CDR005126 to investigative file.,false
REF00422,CASE0039,Transaction,TXN000781,Case reference linking Transaction record TXN000781 to investigative file.,false
REF00423,CASE0031,FIR,FIR000236,Case reference linking FIR record FIR000236 to investigative file.,false
REF00424,CASE0014,CDR,CDR007126,Case reference linking CDR record CDR007126 to investigative file.,false
REF00425,CASE0017,FIR,FIR000253,Case reference linking FIR record FIR000253 to investigative file.,false
REF00426,CASE0039,FIR,FIR000212,Case reference linking FIR record FIR000212 to investigative file.,false
REF00427,CASE0005,FIR,FIR000109,Case reference linking FIR record FIR000109 to investigative file.,false
REF00428,CASE0034,CDR,CDR008426,Case reference linking CDR record CDR008426 to investigative file.,false
REF00429,CASE0052,FIR,FIR000026,Case reference linking FIR record FIR000026 to investigative file.,false
REF00430,CASE0058,CDR,CDR000426,Case reference linking CDR record CDR000426 to investigative file.,false
REF00431,CASE0026,CDR,CDR004426,Case reference linking CDR record CDR004426 to investigative file.,false
REF00432,CASE0024,FIR,FIR000066,Case reference linking FIR record FIR000066 to investigative file.,false
REF00433,CASE0009,Surveillance,SR00036,Case reference linking Surveillance record SR00036 to investigative file.,false
REF00434,CASE0047,Surveillance,SR00030,Case reference linking Surveillance record SR00030 to investigative file.,false
REF00435,CASE0001,Surveillance,SR00082,Case reference linking Surveillance record SR00082 to investigative file.,false
REF00436,CASE0055,CDR,CDR006076,Case reference linking CDR record CDR006076 to investigative file.,false
REF00437,CASE0016,Surveillance,SR00006,Case reference linking Surveillance record SR00006 to investigative file.,false
REF00438,CASE0001,Surveillance,SR00036,Case reference linking Surveillance record SR00036 to investigative file.,false
REF00439,CASE0025,FIR,FIR000067,Case reference linking FIR record FIR000067 to investigative file.,false
REF00440,CASE0023,Surveillance,SR00067,Case reference linking Surveillance record SR00067 to investigative file.,false
REF00441,CASE0047,Surveillance,SR00102,Case reference linking Surveillance record SR00102 to investigative file.,false
REF00442,CASE0004,Transaction,TXN003241,Case reference linking Transaction record TXN003241 to investigative file.,false
REF00443,CASE0036,Transaction,TXN001981,Case reference linking Transaction record TXN001981 to investigative file.,false
REF00444,CASE0035,FIR,FIR000264,Case reference linking FIR record FIR000264 to investigative file.,false
REF00445,CASE0006,FIR,FIR000125,Case reference linking FIR record FIR000125 to investigative file.,false
REF00446,CASE0016,Transaction,TXN001141,Case reference linking Transaction record TXN001141 to investigative file.,false
REF00447,CASE0007,CDR,CDR003801,Case reference linking CDR record CDR003801 to investigative file.,false
REF00448,CASE0029,CDR,CDR006051,Case reference linking CDR record CDR006051 to investigative file.,false
REF00449,CASE0041,CDR,CDR004076,Case reference linking CDR record CDR004076 to investigative file.,false
REF00450,CASE0041,FIR,FIR000090,Case reference linking FIR record FIR000090 to investigative file.,false
REF00451,CASE0031,Transaction,TXN004261,Case reference linking Transaction record TXN004261 to investigative file.,false
REF00452,CASE0022,FIR,FIR000099,Case reference linking FIR record FIR000099 to investigative file.,false
REF00453,CASE0033,CDR,CDR009501,Case reference linking CDR record CDR009501 to investigative file.,false
REF00454,CASE0054,FIR,FIR000138,Case reference linking FIR record FIR000138 to investigative file.,false
REF00455,CASE0024,Transaction,TXN004901,Case reference linking Transaction record TXN004901 to investigative file.,false
REF00456,CASE0015,Transaction,TXN001421,Case reference linking Transaction record TXN001421 to investigative file.,false
REF00457,CASE0042,CDR,CDR000126,Case reference linking CDR record CDR000126 to investigative file.,false
REF00458,CASE0044,CDR,CDR003051,Case reference linking CDR record CDR003051 to investigative file.,false
REF00459,CASE0014,FIR,FIR000254,Case reference linking FIR record FIR000254 to investigative file.,false
REF00460,CASE0029,Transaction,TXN002581,Case reference linking Transaction record TXN002581 to investigative file.,false
REF00461,CASE0003,CDR,CDR007201,Case reference linking CDR record CDR007201 to investigative file.,false
REF00462,CASE0040,CDR,CDR005701,Case reference linking CDR record CDR005701 to investigative file.,false
REF00463,CASE0057,Surveillance,SR00031,Case reference linking Surveillance record SR00031 to investigative file.,false
REF00464,CASE0011,CDR,CDR004501,Case reference linking CDR record CDR004501 to investigative file.,false
REF00465,CASE0010,CDR,CDR007976,Case reference linking CDR record CDR007976 to investigative file.,false
REF00466,CASE0017,Transaction,TXN001101,Case reference linking Transaction record TXN001101 to investigative file.,false
REF00467,CASE0032,Transaction,TXN001461,Case reference linking Transaction record TXN001461 to investigative file.,false
REF00468,CASE0028,FIR,FIR000192,Case reference linking FIR record FIR000192 to investigative file.,false
REF00469,CASE0045,Surveillance,SR00039,Case reference linking Surveillance record SR00039 to investigative file.,false
REF00470,CASE0020,FIR,FIR000046,Case reference linking FIR record FIR000046 to investigative file.,false
REF00471,CASE0020,FIR,FIR000045,Case reference linking FIR record FIR000045 to investigative file.,false
REF00472,CASE0049,CDR,CDR000951,Case reference linking CDR record CDR000951 to investigative file.,false
REF00473,CASE0009,CDR,CDR008876,Case reference linking CDR record CDR008876 to investigative file.,false
REF00474,CASE0025,Transaction,TXN002581,Case reference linking Transaction record TXN002581 to investigative file.,false
REF00475,CASE0041,CDR,CDR009001,Case reference linking CDR record CDR009001 to investigative file.,false
REF00476,CASE0047,Transaction,TXN002641,Case reference linking Transaction record TXN002641 to investigative file.,false
REF00477,CASE0049,Transaction,TXN002541,Case reference linking Transaction record TXN002541 to investigative file.,false
REF00478,CASE0055,CDR,CDR004401,Case reference linking CDR record CDR004401 to investigative file.,false
REF00479,CASE0028,CDR,CDR006051,Case reference linking CDR record CDR006051 to investigative file.,false
REF00480,CASE0033,CDR,CDR008951,Case reference linking CDR record CDR008951 to investigative file.,false
REF00481,CASE0054,CDR,CDR002751,Case reference linking CDR record CDR002751 to investigative file.,false
REF00482,CASE0021,FIR,FIR000225,Case reference linking FIR record FIR000225 to investigative file.,false
REF00483,CASE0040,CDR,CDR003426,Case reference linking CDR record CDR003426 to investigative file.,false
REF00484,CASE0045,Transaction,TXN003601,Case reference linking Transaction record TXN003601 to investigative file.,false
REF00485,CASE0024,FIR,FIR000259,Case reference linking FIR record FIR000259 to investigative file.,false
REF00486,CASE0013,Transaction,TXN002781,Case reference linking Transaction record TXN002781 to investigative file.,false
REF00487,CASE0037,Transaction,TXN004501,Case reference linking Transaction record TXN004501 to investigative file.,false
REF00488,CASE0010,FIR,FIR000092,Case reference linking FIR record FIR000092 to investigative file.,false
REF00489,CASE0041,Surveillance,SR00005,Case reference linking Surveillance record SR00005 to investigative file.,false
REF00490,CASE0037,FIR,FIR000044,Case reference linking FIR record FIR000044 to investigative file.,false
REF00491,CASE0050,FIR,FIR000126,Case reference linking FIR record FIR000126 to investigative file.,false
REF00492,CASE0038,FIR,FIR000020,Case reference linking FIR record FIR000020 to investigative file.,false
REF00493,CASE0016,CDR,CDR005726,Case reference linking CDR record CDR005726 to investigative file.,false
REF00494,CASE0058,CDR,CDR000826,Case reference linking CDR record CDR000826 to investigative file.,false
REF00495,CASE0055,Transaction,TXN003881,Case reference linking Transaction record TXN003881 to investigative file.,false
REF00496,CASE0007,CDR,CDR002851,Case reference linking CDR record CDR002851 to investigative file.,false
REF00497,CASE0015,Surveillance,SR00038,Case reference linking Surveillance record SR00038 to investigative file.,false
REF00498,CASE0039,CDR,CDR006351,Case reference linking CDR record CDR006351 to investigative file.,false
REF00499,CASE0034,Transaction,TXN003081,Case reference linking Transaction record TXN003081 to investigative file.,false
REF00500,CASE0007,CDR,CDR007326,Case reference linking CDR record CDR007326 to investigative file.,false
REF00501,CASE0007,CDR,CDR006526,Case reference linking CDR record CDR006526 to investigative file.,false
REF00502,CASE0058,CDR,CDR008051,Case reference linking CDR record CDR008051 to investigative file.,false
REF00503,CASE0012,CDR,CDR009026,Case reference linking CDR record CDR009026 to investigative file.,false
REF00504,CASE0047,CDR,CDR002651,Case reference linking CDR record CDR002651 to investigative file.,false
REF00505,CASE0036,Transaction,TXN000661,Case reference linking Transaction record TXN000661 to investigative file.,false
REF00506,CASE0019,Surveillance,SR00071,Case reference linking Surveillance record SR00071 to investigative file.,false
REF00507,CASE0050,FIR,FIR000247,Case reference linking FIR record FIR000247 to investigative file.,false
REF00508,CASE0042,Surveillance,SR00006,Case reference linking Surveillance record SR00006 to investigative file.,false
REF00509,CASE0022,FIR,FIR000068,Case reference linking FIR record FIR000068 to investigative file.,false
REF00510,CASE0023,CDR,CDR001426,Case reference linking CDR record CDR001426 to investigative file.,false
REF00511,CASE0004,Transaction,TXN004881,Case reference linking Transaction record TXN004881 to investigative file.,false
REF00512,CASE0002,Transaction,TXN003001,Case reference linking Transaction record TXN003001 to investigative file.,false
REF00513,CASE0002,CDR,CDR006276,Case reference linking CDR record CDR006276 to investigative file.,false
REF00514,CASE0045,Surveillance,SR00029,Case reference linking Surveillance record SR00029 to investigative file.,false
REF00515,CASE0053,CDR,CDR008801,Case reference linking CDR record CDR008801 to investigative file.,false
REF00516,CASE0039,CDR,CDR000376,Case reference linking CDR record CDR000376 to investigative file.,false
REF00517,CASE0028,Transaction,TXN002381,Case reference linking Transaction record TXN002381 to investigative file.,false
REF00518,CASE0029,CDR,CDR005601,Case reference linking CDR record CDR005601 to investigative file.,false
REF00519,CASE0008,Surveillance,SR00032,Case reference linking Surveillance record SR00032 to investigative file.,false
REF00520,CASE0058,FIR,FIR000104,Case reference linking FIR record FIR000104 to investigative file.,false
REF00521,CASE0032,Transaction,TXN000721,Case reference linking Transaction record TXN000721 to investigative file.,false
REF00522,CASE0022,Surveillance,SR00004,Case reference linking Surveillance record SR00004 to investigative file.,false
REF00523,CASE0040,FIR,FIR000130,Case reference linking FIR record FIR000130 to investigative file.,false
REF00524,CASE0042,Transaction,TXN001621,Case reference linking Transaction record TXN001621 to investigative file.,false
REF00525,CASE0034,CDR,CDR001251,Case reference linking CDR record CDR001251 to investigative file.,false
REF00526,CASE0034,CDR,CDR008701,Case reference linking CDR record CDR008701 to investigative file.,false
REF00527,CASE0035,FIR,FIR000238,Case reference linking FIR record FIR000238 to investigative file.,false
REF00528,CASE0015,CDR,CDR005276,Case reference linking CDR record CDR005276 to investigative file.,false
REF00529,CASE0056,Transaction,TXN000641,Case reference linking Transaction record TXN000641 to investigative file.,false
REF00530,CASE0058,CDR,CDR006276,Case reference linking CDR record CDR006276 to investigative file.,false
REF00531,CASE0012,Transaction,TXN001641,Case reference linking Transaction record TXN001641 to investigative file.,false
REF00532,CASE0041,CDR,CDR002001,Case reference linking CDR record CDR002001 to investigative file.,false
REF00533,CASE0054,FIR,FIR000108,Case reference linking FIR record FIR000108 to investigative file.,false
REF00534,CASE0012,FIR,FIR000209,Case reference linking FIR record FIR000209 to investigative file.,false
REF00535,CASE0059,FIR,FIR000288,Case reference linking FIR record FIR000288 to investigative file.,false
REF00536,CASE0029,CDR,CDR003651,Case reference linking CDR record CDR003651 to investigative file.,false
REF00537,CASE0030,Surveillance,SR00134,Case reference linking Surveillance record SR00134 to investigative file.,false
REF00538,CASE0049,Surveillance,SR00009,Case reference linking Surveillance record SR00009 to investigative file.,false
REF00539,CASE0011,Surveillance,SR00052,Case reference linking Surveillance record SR00052 to investigative file.,false
REF00540,CASE0025,Surveillance,SR00023,Case reference linking Surveillance record SR00023 to investigative file.,false
REF00541,CASE0041,CDR,CDR001901,Case reference linking CDR record CDR001901 to investigative file.,false
REF00542,CASE0040,Transaction,TXN002981,Case reference linking Transaction record TXN002981 to investigative file.,false
REF00543,CASE0058,Surveillance,SR00096,Case reference linking Surveillance record SR00096 to investigative file.,false
REF00544,CASE0059,FIR,FIR000203,Case reference linking FIR record FIR000203 to investigative file.,false
REF00545,CASE0050,CDR,CDR008651,Case reference linking CDR record CDR008651 to investigative file.,false
REF00546,CASE0034,Transaction,TXN004241,Case reference linking Transaction record TXN004241 to investigative file.,false
REF00547,CASE0040,FIR,FIR000238,Case reference linking FIR record FIR000238 to investigative file.,false
REF00548,CASE0038,FIR,FIR000197,Case reference linking FIR record FIR000197 to investigative file.,false
REF00549,CASE0020,Transaction,TXN003461,Case reference linking Transaction record TXN003461 to investigative file.,false
REF00550,CASE0007,CDR,CDR001576,Case reference linking CDR record CDR001576 to investigative file.,false
REF00551,CASE0050,Transaction,TXN001401,Case reference linking Transaction record TXN001401 to investigative file.,false
REF00552,CASE0034,Surveillance,SR00119,Case reference linking Surveillance record SR00119 to investigative file.,false
REF00553,CASE0007,CDR,CDR008051,Case reference linking CDR record CDR008051 to investigative file.,false
REF00554,CASE0038,FIR,FIR000126,Case reference linking FIR record FIR000126 to investigative file.,false
REF00555,CASE0049,CDR,CDR005676,Case reference linking CDR record CDR005676 to investigative file.,false
REF00556,CASE0016,Surveillance,SR00134,Case reference linking Surveillance record SR00134 to investigative file.,false
REF00557,CASE0034,Surveillance,SR00004,Case reference linking Surveillance record SR00004 to investigative file.,false
REF00558,CASE0044,Surveillance,SR00052,Case reference linking Surveillance record SR00052 to investigative file.,false
REF00559,CASE0034,Surveillance,SR00079,Case reference linking Surveillance record SR00079 to investigative file.,false
REF00560,CASE0001,FIR,FIR000153,Case reference linking FIR record FIR000153 to investigative file.,false
REF00561,CASE0034,Transaction,TXN000741,Case reference linking Transaction record TXN000741 to investigative file.,false
REF00562,CASE0043,CDR,CDR000101,Case reference linking CDR record CDR000101 to investigative file.,false
REF00563,CASE0028,CDR,CDR006776,Case reference linking CDR record CDR006776 to investigative file.,false
REF00564,CASE0058,CDR,CDR007626,Case reference linking CDR record CDR007626 to investigative file.,false
REF00565,CASE0043,CDR,CDR005326,Case reference linking CDR record CDR005326 to investigative file.,false
REF00566,CASE0047,Surveillance,SR00024,Case reference linking Surveillance record SR00024 to investigative file.,false
REF00567,CASE0059,CDR,CDR005676,Case reference linking CDR record CDR005676 to investigative file.,false
REF00568,CASE0010,FIR,FIR000209,Case reference linking FIR record FIR000209 to investigative file.,false
REF00569,CASE0040,FIR,FIR000025,Case reference linking FIR record FIR000025 to investigative file.,false
REF00570,CASE0011,CDR,CDR009951,Case reference linking CDR record CDR009951 to investigative file.,false
REF00571,CASE0021,CDR,CDR001476,Case reference linking CDR record CDR001476 to investigative file.,false
REF00572,CASE0054,FIR,FIR000244,Case reference linking FIR record FIR000244 to investigative file.,false
REF00573,CASE0013,CDR,CDR005001,Case reference linking CDR record CDR005001 to investigative file.,false
REF00574,CASE0046,CDR,CDR006576,Case reference linking CDR record CDR006576 to investigative file.,false
REF00575,CASE0028,Transaction,TXN002661,Case reference linking Transaction record TXN002661 to investigative file.,false
REF00576,CASE0054,FIR,FIR000006,Case reference linking FIR record FIR000006 to investigative file.,false
REF00577,CASE0007,CDR,CDR005051,Case reference linking CDR record CDR005051 to investigative file.,false
REF00578,CASE0033,FIR,FIR000054,Case reference linking FIR record FIR000054 to investigative file.,false
REF00579,CASE0040,CDR,CDR000901,Case reference linking CDR record CDR000901 to investigative file.,false
REF00580,CASE0050,FIR,FIR000156,Case reference linking FIR record FIR000156 to investigative file.,false
REF00581,CASE0041,Transaction,TXN002221,Case reference linking Transaction record TXN002221 to investigative file.,false
REF00582,CASE0022,FIR,FIR000138,Case reference linking FIR record FIR000138 to investigative file.,false
REF00583,CASE0052,Transaction,TXN003361,Case reference linking Transaction record TXN003361 to investigative file.,false
REF00584,CASE0006,Transaction,TXN000501,Case reference linking Transaction record TXN000501 to investigative file.,false
REF00585,CASE0024,Surveillance,SR00149,Case reference linking Surveillance record SR00149 to investigative file.,false
REF00586,CASE0041,CDR,CDR008201,Case reference linking CDR record CDR008201 to investigative file.,false
REF00587,CASE0044,FIR,FIR000027,Case reference linking FIR record FIR000027 to investigative file.,false
REF00588,CASE0051,CDR,CDR001626,Case reference linking CDR record CDR001626 to investigative file.,false
REF00589,CASE0021,Transaction,TXN000321,Case reference linking Transaction record TXN000321 to investigative file.,false
REF00590,CASE0023,FIR,FIR000087,Case reference linking FIR record FIR000087 to investigative file.,false
REF00591,CASE0048,FIR,FIR000274,Case reference linking FIR record FIR000274 to investigative file.,false
REF00592,CASE0008,CDR,CDR003476,Case reference linking CDR record CDR003476 to investigative file.,false
REF00593,CASE0047,Transaction,TXN000361,Case reference linking Transaction record TXN000361 to investigative file.,false
REF00594,CASE0008,Transaction,TXN000641,Case reference linking Transaction record TXN000641 to investigative file.,false
REF00595,CASE0004,CDR,CDR002801,Case reference linking CDR record CDR002801 to investigative file.,false
REF00596,CASE0020,Surveillance,SR00030,Case reference linking Surveillance record SR00030 to investigative file.,false
