reference_id,case_id,source_type,reference_text
REF00362,CASE0179,witness_statement,Synthetic case reference record 362 for investigative cross-check.
REF00363,CASE0228,field_note,Synthetic case reference record 363 for investigative cross-check.
REF00364,CASE0196,prior_case_link,Synthetic case reference record 364 for investigative cross-check.
REF00365,CASE0109,lab_summary,Synthetic case reference record 365 for investigative cross-check.
REF00366,CASE0011,witness_statement,Synthetic case reference record 366 for investigative cross-check.
REF00367,CASE0089,lab_summary,Synthetic case reference record 367 for investigative cross-check.
REF00368,CASE0131,prior_case_link,Synthetic case reference record 368 for investigative cross-check.
REF00369,CASE0193,lab_summary,Synthetic case reference record 369 for investigative cross-check.
REF00370,CASE0078,lab_summary,Synthetic case reference record 370 for investigative cross-check.
REF00371,CASE0150,lab_summary,Synthetic case reference record 371 for investigative cross-check.
REF00372,CASE0155,lab_summary,Synthetic case reference record 372 for investigative cross-check.
REF00373,CASE0079,tip_off,Synthetic case reference record 373 for investigative cross-check.
REF00374,CASE0233,document_scan,Synthetic case reference record 374 for investigative cross-check.
REF00375,CASE0026,witness_statement,Synthetic case reference record 375 for investigative cross-check.
REF00376,CASE0008,document_scan,Synthetic case reference record 376 for investigative cross-check.
REF00377,CASE0231,field_note,Synthetic case reference record 377 for investigative cross-check.
REF00378,CASE0002,document_scan,Synthetic case reference record 378 for investigative cross-check.
REF00379,CASE0103,prior_case_link,Synthetic case reference record 379 for investigative cross-check.
REF00380,CASE0129,tip_off,Synthetic case reference record 380 for investigative cross-check.
REF00381,CASE0002,prior_case_link,Synthetic case reference record 381 for investigative cross-check.
REF00382,CASE0080,witness_statement,Synthetic case reference record 382 for investigative cross-check.
REF00383,CASE0159,lab_summary,Synthetic case reference record 383 for investigative cross-check.
REF00384,CASE0170,lab_summary,Synthetic case reference record 384 for investigative cross-check.
REF00385,CASE0144,document_scan,Synthetic case reference record 385 for investigative cross-check.
REF00386,CASE0131,prior_case_link,Synthetic case reference record 386 for investigative cross-check.
REF00387,CASE0223,prior_case_link,Synthetic case reference record 387 for investigative cross-check.
REF00388,CASE0200,document_scan,Synthetic case reference record 388 for investigative cross-check.
REF00389,CASE0032,field_note,Synthetic case reference record 389 for investigative cross-check.
REF00390,CASE0124,field_note,Synthetic case reference record 390 for investigative cross-check.
REF00391,CASE0140,prior_case_link,Synthetic case reference record 391 for investigative cross-check.
REF00392,CASE0138,witness_statement,Synthetic case reference record 392 for investigative cross-check.
REF00393,CASE0020,witness_statement,Synthetic case reference record 393 for investigative cross-check.
REF00394,CASE0213,document_scan,Synthetic case reference record 394 for investigative cross-check.
REF00395,CASE0048,prior_case_link,Synthetic case reference record 395 for investigative cross-check.
REF00396,CASE0214,field_note,Synthetic case reference record 396 for investigative cross-check.
REF00397,CASE0216,lab_summary,Synthetic case reference record 397 for investigative cross-check.
REF00398,CASE0091,lab_summary,Synthetic case reference record 398 for investigative cross-check.
REF00399,CASE0142,lab_summary,Synthetic case reference record 399 for investigative cross-check.
REF00400,CASE0048,witness_statement,Synthetic case reference record 400 for investigative cross-check.
REF00401,CASE0009,prior_case_link,Synthetic case reference record 401 for investigative cross-check.
REF00402,CASE0041,prior_case_link,Synthetic case reference record 402 for investigative cross-check.
REF00403,CASE0021,document_scan,Synthetic case reference record 403 for investigative cross-check.
REF00404,CASE0099,document_scan,Synthetic case reference record 404 for investigative cross-check.
REF00405,CASE0073,witness_statement,Synthetic case reference record 405 for investigative cross-check.
REF00406,CASE0129,lab_summary,Synthetic case reference record 406 for investigative cross-check.
REF00407,CASE0160,document_scan,Synthetic case reference record 407 for investigative cross-check.
REF00408,CASE0175,prior_case_link,Synthetic case reference record 408 for investigative cross-check.
REF00409,CASE0211,witness_statement,Synthetic case reference record 409 for investigative cross-check.
REF00410,CASE0038,lab_summary,Synthetic case reference record 410 for investigative cross-check.
REF00411,CASE0103,lab_summary,Synthetic case reference record 411 for investigative cross-check.
REF00412,CASE0192,document_scan,Synthetic case reference record 412 for investigative cross-check.
REF00413,CASE0076,field_note,Synthetic case reference record 413 for investigative cross-check.
REF00414,CASE0221,lab_summary,Synthetic case reference record 414 for investigative cross-check.
REF00415,CASE0140,prior_case_link,Synthetic case reference record 415 for investigative cross-check.
REF00416,CASE0210,document_scan,Synthetic case reference record 416 for investigative cross-check.
REF00417,CASE0079,field_note,Synthetic case reference record 417 for investigative cross-check.
REF00418,CASE0082,field_note,Synthetic case reference record 418 for investigative cross-check.
REF00419,CASE0015,prior_case_link,Synthetic case reference record 419 for investigative cross-check.
REF00420,CASE0156,tip_off,Synthetic case reference record 420 for investigative cross-check.
REF00421,CASE0055,witness_statement,Synthetic case reference record 421 for investigative cross-check.
REF00422,CASE0037,witness_statement,Synthetic case reference record 422 for investigative cross-check.
REF00423,CASE0164,document_scan,Synthetic case reference record 423 for investigative cross-check.
REF00424,CASE0054,witness_statement,Synthetic case reference record 424 for investigative cross-check.
REF00425,CASE0174,tip_off,Synthetic case reference record 425 for investigative cross-check.
REF00426,CASE0078,witness_statement,Synthetic case reference record 426 for investigative cross-check.
REF00427,CASE0060,field_note,Synthetic case reference record 427 for investigative cross-check.
REF00428,CASE0207,document_scan,Synthetic case reference record 428 for investigative cross-check.
REF00429,CASE0132,tip_off,Synthetic case reference record 429 for investigative cross-check.
REF00430,CASE0008,document_scan,Synthetic case reference record 430 for investigative cross-check.
REF00431,CASE0118,field_note,Synthetic case reference record 431 for investigative cross-check.
REF00432,CASE0127,witness_statement,Synthetic case reference record 432 for investigative cross-check.
REF00433,CASE0049,tip_off,Synthetic case reference record 433 for investigative cross-check.
REF00434,CASE0078,field_note,Synthetic case reference record 434 for investigative cross-check.
REF00435,CASE0235,witness_statement,Synthetic case reference record 435 for investigative cross-check.
REF00436,CASE0195,tip_off,Synthetic case reference record 436 for investigative cross-check.
REF00437,CASE0226,lab_summary,Synthetic case reference record 437 for investigative cross-check.
REF00438,CASE0128,tip_off,Synthetic case reference record 438 for investigative cross-check.
REF00439,CASE0029,tip_off,Synthetic case reference record 439 for investigative cross-check.
REF00440,CASE0183,witness_statement,Synthetic case reference record 440 for investigative cross-check.
REF00441,CASE0217,tip_off,Synthetic case reference record 441 for investigative cross-check.
REF00442,CASE0066,tip_off,Synthetic case reference record 442 for investigative cross-check.
REF00443,CASE0198,tip_off,Synthetic case reference record 443 for investigative cross-check.
REF00444,CASE0164,document_scan,Synthetic case reference record 444 for investigative cross-check.
REF00445,CASE0126,prior_case_link,Synthetic case reference record 445 for investigative cross-check.
REF00446,CASE0016,lab_summary,Synthetic case reference record 446 for investigative cross-check.
REF00447,CASE0016,prior_case_link,Synthetic case reference record 447 for investigative cross-check.
REF00448,CASE0122,prior_case_link,Synthetic case reference record 448 for investigative cross-check.
REF00449,CASE0235,document_scan,Synthetic case reference record 449 for investigative cross-check.
REF00450,CASE0055,witness_statement,Synthetic case reference record 450 for investigative cross-check.
REF00451,CASE0100,prior_case_link,Synthetic case reference record 451 for investigative cross-check.
REF00452,CASE0094,tip_off,Synthetic case reference record 452 for investigative cross-check.
REF00453,CASE0108,document_scan,Synthetic case reference record 453 for investigative cross-check.
REF00454,CASE0024,document_scan,Synthetic case reference record 454 for investigative cross-check.
REF00455,CASE0098,witness_statement,Synthetic case reference record 455 for investigative cross-check.
REF00456,CASE0049,prior_case_link,Synthetic case reference record 456 for investigative cross-check.
REF00457,CASE0022,prior_case_link,Synthetic case reference record 457 for investigative cross-check.
REF00458,CASE0078,witness_statement,Synthetic case reference record 458 for investigative cross-check.
REF00459,CASE0064,document_scan,Synthetic case reference record 459 for investigative cross-check.
REF00460,CASE0227,tip_off,Synthetic case reference record 460 for investigative cross-check.
REF00461,CASE0144,prior_case_link,Synthetic case reference record 461 for investigative cross-check.
REF00462,CASE0161,lab_summary,Synthetic case reference record 462 for investigative cross-check.
REF00463,CASE0177,document_scan,Synthetic case reference record 463 for investigative cross-check.
REF00464,CASE0089,prior_case_link,Synthetic case reference record 464 for investigative cross-check.
REF00465,CASE0007,witness_statement,Synthetic case reference record 465 for investigative cross-check.
REF00466,CASE0207,witness_statement,Synthetic case reference record 466 for investigative cross-check.
REF00467,CASE0202,prior_case_link,Synthetic case reference record 467 for investigative cross-check.
REF00468,CASE0018,witness_statement,Synthetic case reference record 468 for investigative cross-check.
REF00469,CASE0225,prior_case_link,Synthetic case reference record 469 for investigative cross-check.
REF00470,CASE0189,field_note,Synthetic case reference record 470 for investigative cross-check.
REF00471,CASE0222,witness_statement,Synthetic case reference record 471 for investigative cross-check.
REF00472,CASE0116,tip_off,Synthetic case reference record 472 for investigative cross-check.
REF00473,CASE0026,field_note,Synthetic case reference record 473 for investigative cross-check.
REF00474,CASE0113,field_note,Synthetic case reference record 474 for investigative cross-check.
REF00475,CASE0109,witness_statement,Synthetic case reference record 475 for investigative cross-check.
REF00476,CASE0165,lab_summary,Synthetic case reference record 476 for investigative cross-check.
REF00477,CASE0202,tip_off,Synthetic case reference record 477 for investigative cross-check.
REF00478,CASE0142,prior_case_link,Synthetic case reference record 478 for investigative cross-check.
REF00479,CASE0188,document_scan,Synthetic case reference record 479 for investigative cross-check.
REF00480,CASE0024,tip_off,Synthetic case reference record 480 for investigative cross-check.
REF00481,CASE0169,prior_case_link,Synthetic case reference record 481 for investigative cross-check.
REF00482,CASE0208,witness_statement,Synthetic case reference record 482 for investigative cross-check.
REF00483,CASE0031,witness_statement,Synthetic case reference record 483 for investigative cross-check.
REF00484,CASE0066,prior_case_link,Synthetic case reference record 484 for investigative cross-check.
REF00485,CASE0094,prior_case_link,Synthetic case reference record 485 for investigative cross-check.
REF00486,CASE0211,tip_off,Synthetic case reference record 486 for investigative cross-check.
REF00487,CASE0050,witness_statement,Synthetic case reference record 487 for investigative cross-check.
REF00488,CASE0205,tip_off,Synthetic case reference record 488 for investigative cross-check.
REF00489,CASE0165,document_scan,Synthetic case reference record 489 for investigative cross-check.
REF00490,CASE0003,lab_summary,Synthetic case reference record 490 for investigative cross-check.
REF00491,CASE0210,witness_statement,Synthetic case reference record 491 for investigative cross-check.
REF00492,CASE0221,prior_case_link,Synthetic case reference record 492 for investigative cross-check.
REF00493,CASE0195,witness_statement,Synthetic case reference record 493 for investigative cross-check.
REF00494,CASE0028,witness_statement,Synthetic case reference record 494 for investigative cross-check.
REF00495,CASE0101,tip_off,Synthetic case reference record 495 for investigative cross-check.
REF00496,CASE0129,document_scan,Synthetic case reference record 496 for investigative cross-check.
REF00497,CASE0136,tip_off,Synthetic case reference record 497 for investigative cross-check.
REF00498,CASE0226,document_scan,Synthetic case reference record 498 for investigative cross-check.
REF00499,CASE0115,prior_case_link,Synthetic case reference record 499 for investigative cross-check.
REF00500,CASE0171,document_scan,Synthetic case reference record 500 for investigative cross-check.
REF00501,CASE0140,document_scan,Synthetic case reference record 501 for investigative cross-check.
REF00502,CASE0236,field_note,Synthetic case reference record 502 for investigative cross-check.
REF00503,CASE0146,prior_case_link,Synthetic case reference record 503 for investigative cross-check.
REF00504,CASE0202,tip_off,Synthetic case reference record 504 for investigative cross-check.
REF00505,CASE0129,lab_summary,Synthetic case reference record 505 for investigative cross-check.
REF00506,CASE0227,tip_off,Synthetic case reference record 506 for investigative cross-check.
REF00507,CASE0207,tip_off,Synthetic case reference record 507 for investigative cross-check.
REF00508,CASE0025,lab_summary,Synthetic case reference record 508 for investigative cross-check.
REF00509,CASE0035,lab_summary,Synthetic case reference record 509 for investigative cross-check.
REF00510,CASE0187,document_scan,Synthetic case reference record 510 for investigative cross-check.
REF00511,CASE0185,tip_off,Synthetic case reference record 511 for investigative cross-check.
REF00512,CASE0073,field_note,Synthetic case reference record 512 for investigative cross-check.
REF00513,CASE0072,field_note,Synthetic case reference record 513 for investigative cross-check.
REF00514,CASE0177,field_note,Synthetic case reference record 514 for investigative cross-check.
REF00515,CASE0126,witness_statement,Synthetic case reference record 515 for investigative cross-check.
REF00516,CASE0186,lab_summary,Synthetic case reference record 516 for investigative cross-check.
REF00517,CASE0152,document_scan,Synthetic case reference record 517 for investigative cross-check.
REF00518,CASE0072,prior_case_link,Synthetic case reference record 518 for investigative cross-check.
REF00519,CASE0116,tip_off,Synthetic case reference record 519 for investigative cross-check.
REF00520,CASE0164,lab_summary,Synthetic case reference record 520 for investigative cross-check.
REF00521,CASE0069,field_note,Synthetic case reference record 521 for investigative cross-check.
REF00522,CASE0073,lab_summary,Synthetic case reference record 522 for investigative cross-check.
REF00523,CASE0184,prior_case_link,Synthetic case reference record 523 for investigative cross-check.
REF00524,CASE0153,witness_statement,Synthetic case reference record 524 for investigative cross-check.
REF00525,CASE0153,document_scan,Synthetic case reference record 525 for investigative cross-check.
REF00526,CASE0167,prior_case_link,Synthetic case reference record 526 for investigative cross-check.
REF00527,CASE0171,document_scan,Synthetic case reference record 527 for investigative cross-check.
REF00528,CASE0100,prior_case_link,Synthetic case reference record 528 for investigative cross-check.
REF00529,CASE0045,witness_statement,Synthetic case reference record 529 for investigative cross-check.
REF00530,CASE0094,prior_case_link,Synthetic case reference record 530 for investigative cross-check.
REF00531,CASE0189,lab_summary,Synthetic case reference record 531 for investigative cross-check.
REF00532,CASE0005,tip_off,Synthetic case reference record 532 for investigative cross-check.
REF00533,CASE0043,prior_case_link,Synthetic case reference record 533 for investigative cross-check.
REF00534,CASE0140,prior_case_link,Synthetic case reference record 534 for investigative cross-check.
REF00535,CASE0230,prior_case_link,Synthetic case reference record 535 for investigative cross-check.
REF00536,CASE0195,witness_statement,Synthetic case reference record 536 for investigative cross-check.
REF00537,CASE0186,witness_statement,Synthetic case reference record 537 for investigative cross-check.
REF00538,CASE0048,prior_case_link,Synthetic case reference record 538 for investigative cross-check.
REF00539,CASE0228,field_note,Synthetic case reference record 539 for investigative cross-check.
REF00540,CASE0018,prior_case_link,Synthetic case reference record 540 for investigative cross-check.
REF00541,CASE0030,document_scan,Synthetic case reference record 541 for investigative cross-check.
REF00542,CASE0239,witness_statement,Synthetic case reference record 542 for investigative cross-check.
REF00543,CASE0099,field_note,Synthetic case reference record 543 for investigative cross-check.
REF00544,CASE0138,lab_summary,Synthetic case reference record 544 for investigative cross-check.
REF00545,CASE0143,witness_statement,Synthetic case reference record 545 for investigative cross-check.
REF00546,CASE0211,document_scan,Synthetic case reference record 546 for investigative cross-check.
REF00547,CASE0153,field_note,Synthetic case reference record 547 for investigative cross-check.
REF00548,CASE0012,witness_statement,Synthetic case reference record 548 for investigative cross-check.
REF00549,CASE0176,prior_case_link,Synthetic case reference record 549 for investigative cross-check.
REF00550,CASE0131,tip_off,Synthetic case reference record 550 for investigative cross-check.
REF00551,CASE0084,prior_case_link,Synthetic case reference record 551 for investigative cross-check.
REF00552,CASE0099,tip_off,Synthetic case reference record 552 for investigative cross-check.
REF00553,CASE0117,document_scan,Synthetic case reference record 553 for investigative cross-check.
REF00554,CASE0010,witness_statement,Synthetic case reference record 554 for investigative cross-check.
REF00555,CASE0116,lab_summary,Synthetic case reference record 555 for investigative cross-check.
REF00556,CASE0023,lab_summary,Synthetic case reference record 556 for investigative cross-check.
REF00557,CASE0212,document_scan,Synthetic case reference record 557 for investigative cross-check.
REF00558,CASE0194,witness_statement,Synthetic case reference record 558 for investigative cross-check.
REF00559,CASE0129,witness_statement,Synthetic case reference record 559 for investigative cross-check.
REF00560,CASE0059,document_scan,Synthetic case reference record 560 for investigative cross-check.
REF00561,CASE0176,document_scan,Synthetic case reference record 561 for investigative cross-check.
REF00562,CASE0073,witness_statement,Synthetic case reference record 562 for investigative cross-check.
REF00563,CASE0210,document_scan,Synthetic case reference record 563 for investigative cross-check.
REF00564,CASE0082,tip_off,Synthetic case reference record 564 for investigative cross-check.
REF00565,CASE0145,prior_case_link,Synthetic case reference record 565 for investigative cross-check.
REF00566,CASE0002,witness_statement,Synthetic case reference record 566 for investigative cross-check.
REF00567,CASE0186,document_scan,Synthetic case reference record 567 for investigative cross-check.
REF00568,CASE0062,tip_off,Synthetic case reference record 568 for investigative cross-check.
REF00569,CASE0138,tip_off,Synthetic case reference record 569 for investigative cross-check.
REF00570,CASE0198,lab_summary,Synthetic case reference record 570 for investigative cross-check.
REF00571,CASE0049,prior_case_link,Synthetic case reference record 571 for investigative cross-check.
REF00572,CASE0135,witness_statement,Synthetic case reference record 572 for investigative cross-check.
REF00573,CASE0146,witness_statement,Synthetic case reference record 573 for investigative cross-check.
REF00574,CASE0150,field_note,Synthetic case reference record 574 for investigative cross-check.
REF00575,CASE0126,prior_case_link,Synthetic case reference record 575 for investigative cross-check.
REF00576,CASE0211,prior_case_link,Synthetic case reference record 576 for investigative cross-check.
REF00577,CASE0122,tip_off,Synthetic case reference record 577 for investigative cross-check.
REF00578,CASE0146,prior_case_link,Synthetic case reference record 578 for investigative cross-check.
REF00579,CASE0116,witness_statement,Synthetic case reference record 579 for investigative cross-check.
REF00580,CASE0222,field_note,Synthetic case reference record 580 for investigative cross-check.
REF00581,CASE0184,lab_summary,Synthetic case reference record 581 for investigative cross-check.
REF00582,CASE0067,prior_case_link,Synthetic case reference record 582 for investigative cross-check.
REF00583,CASE0214,witness_statement,Synthetic case reference record 583 for investigative cross-check.
REF00584,CASE0038,tip_off,Synthetic case reference record 584 for investigative cross-check.
REF00585,CASE0218,witness_statement,Synthetic case reference record 585 for investigative cross-check.
REF00586,CASE0178,field_note,Synthetic case reference record 586 for investigative cross-check.
REF00587,CASE0063,prior_case_link,Synthetic case reference record 587 for investigative cross-check.
REF00588,CASE0016,witness_statement,Synthetic case reference record 588 for investigative cross-check.
REF00589,CASE0155,witness_statement,Synthetic case reference record 589 for investigative cross-check.
REF00590,CASE0021,witness_statement,Synthetic case reference record 590 for investigative cross-check.
REF00591,CASE0105,lab_summary,Synthetic case reference record 591 for investigative cross-check.
REF00592,CASE0081,document_scan,Synthetic case reference record 592 for investigative cross-check.
REF00593,CASE0204,prior_case_link,Synthetic case reference record 593 for investigative cross-check.
REF00594,CASE0123,tip_off,Synthetic case reference record 594 for investigative cross-check.
REF00595,CASE0073,prior_case_link,Synthetic case reference record 595 for investigative cross-check.
REF00596,CASE0227,document_scan,Synthetic case reference record 596 for investigative cross-check.
REF00597,CASE0143,tip_off,Synthetic case reference record 597 for investigative cross-check.
REF00598,CASE0011,prior_case_link,Synthetic case reference record 598 for investigative cross-check.
REF00599,CASE0027,prior_case_link,Synthetic case reference record 599 for investigative cross-check.
REF00600,CASE0170,document_scan,Synthetic case reference record 600 for investigative cross-check.
